Packet_Number,Timestamp,Data
94,2026-02-26 22:17:15,[-402.9304029304029|-272.5274725274725|-290.84249084249086|-394.87179487179486|-182.41758241758242]
95,2026-02-26 22:17:15,[-415.38461538461536|-265.9340659340659|-276.9230769230769|-361.17216117216117|-143.5897435897436]
96,2026-02-26 22:17:15,[-377.2893772893773|-216.84981684981685|-235.16483516483515|-324.54212454212455|-119.41391941391942]
97,2026-02-26 22:17:15,[-354.57875457875457|-209.52380952380952|-239.56043956043956|-326.007326007326|-115.01831501831502]
98,2026-02-26 22:17:16,[-361.17216117216117|-217.58241758241758|-237.36263736263737|-334.0659340659341|-120.14652014652015]
99,2026-02-26 22:17:16,[-369.2307692307692|-213.91941391941393|-226.37362637362637|-334.7985347985348|-115.01831501831502]
100,2026-02-26 22:17:16,[-361.17216117216117|-202.93040293040292|-214.65201465201466|-302.56410256410254|-88.64468864468864]
101,2026-02-26 22:17:16,[-326.007326007326|-169.23076923076923|-188.2783882783883|-295.23809523809524|-66.66666666666667]
102,2026-02-26 22:17:16,[-305.4945054945055|-134.7985347985348|-160.43956043956044|-255.67765567765568|-5.128205128205129]
103,2026-02-26 22:17:16,[-211.7216117216117|-64.46886446886447|-116.48351648351648|-235.89743589743588|-48.35164835164835]
104,2026-02-26 22:17:16,[-293.7728937728938|-144.32234432234432|-158.24175824175825|-238.82783882783883|-20.512820512820515]
105,2026-02-26 22:17:16,[-284.24908424908426|-101.83150183150182|123.07692307692308|871.0622710622711|1499.6336996336997]
106,2026-02-26 22:17:16,[1430.03663003663|-126.73992673992674|-803.6630036630037|-593.4065934065934|-95.23809523809524]
107,2026-02-26 22:17:16,[-267.3992673992674|-112.08791208791209|-126.73992673992674|-204.3956043956044|13.91941391941392]
108,2026-02-26 22:17:16,[-220.51282051282053|-43.223443223443226|-65.2014652014652|-132.6007326007326|85.71428571428571]
109,2026-02-26 22:17:16,[-150.1831501831502|30.036630036630036|19.78021978021978|-60.07326007326007|175.0915750915751]
110,2026-02-26 22:17:16,[-32.234432234432234|170.6959706959707|186.8131868131868|139.19413919413918|393.4065934065934]
111,2026-02-26 22:17:16,[201.46520146520146|438.0952380952381|453.4798534798535|380.2197802197802|600.0]
112,2026-02-26 22:17:16,[358.24175824175825|495.97069597069594|405.12820512820514|210.98901098901098|286.4468864468864]
113,2026-02-26 22:17:16,[-68.13186813186813|-3.663003663003663|-123.80952380952381|-289.3772893772894|-126.73992673992674]
114,2026-02-26 22:17:16,[-403.6630036630037|-243.2234432234432|-282.7838827838828|-365.56776556776555|-164.10256410256412]
115,2026-02-26 22:17:16,[-430.03663003663|-227.83882783882783|-255.67765567765568|-343.5897435897436|-152.38095238095238]
116,2026-02-26 22:17:16,[-389.010989010989|-213.1868131868132|-252.74725274725276|-321.61172161172163|-124.54212454212454]
117,2026-02-26 22:17:16,[-388.27838827838826|-200.0|-224.9084249084249|-305.4945054945055|-118.68131868131869]
118,2026-02-26 22:17:16,[-383.1501831501831|-192.67399267399267|-226.37362637362637|-323.0769230769231|-136.996336996337]
119,2026-02-26 22:17:16,[-380.2197802197802|-194.13919413919413|-249.8168498168498|-331.86813186813185|-113.55311355311355]
120,2026-02-26 22:17:16,[-361.17216117216117|-174.35897435897436|-220.51282051282053|-311.35531135531136|-112.08791208791209]
121,2026-02-26 22:17:16,[-342.12454212454213|-166.3003663003663|-217.58241758241758|-293.7728937728938|-109.89010989010988]
122,2026-02-26 22:17:17,[-347.25274725274727|-161.17216117216117|-197.06959706959708|-267.3992673992674|-59.34065934065934]
123,2026-02-26 22:17:17,[-323.8095238095238|-131.13553113553112|-126.73992673992674|-188.2783882783883|-6.593406593406593]
124,2026-02-26 22:17:17,[-264.46886446886447|-104.02930402930403|-190.47619047619048|-273.992673992674|-70.32967032967034]
125,2026-02-26 22:17:17,[-305.4945054945055|-119.41391941391942|-166.3003663003663|-263.7362637362637|-3.663003663003663]
126,2026-02-26 22:17:17,[63.00366300366301|1255.6776556776556|1499.6336996336997|954.5787545787546|-361.17216117216117]
127,2026-02-26 22:17:17,[-969.9633699633699|-441.75824175824175|-235.16483516483515|-235.16483516483515|-31.501831501831504]
128,2026-02-26 22:17:17,[-282.05128205128204|-73.99267399267399|-107.6923076923077|-177.28937728937728|32.967032967032964]
129,2026-02-26 22:17:17,[-201.46520146520146|10.989010989010989|-27.106227106227106|-83.51648351648352|126.73992673992674]
130,2026-02-26 22:17:17,[-84.98168498168498|100.36630036630036|66.66666666666667|40.29304029304029|252.74725274725276]
131,2026-02-26 22:17:17,[69.59706959706959|304.02930402930406|298.16849816849816|276.1904761904762|528.2051282051282]
132,2026-02-26 22:17:17,[317.94871794871796|534.065934065934|512.0879120879121|424.90842490842493|605.8608058608058]
133,2026-02-26 22:17:17,[321.61172161172163|324.54212454212455|126.00732600732601|-32.234432234432234|-126.00732600732601]
134,2026-02-26 22:17:17,[-159.7069597069597|-164.83516483516485|-211.7216117216117|-214.65201465201466|-192.67399267399267]
135,2026-02-26 22:17:17,[-170.6959706959707|-168.4981684981685|-154.57875457875457|-144.32234432234432|-142.85714285714286]
136,2026-02-26 22:17:17,[-120.87912087912088|-97.43589743589743|-95.23809523809524|-86.44688644688645|-112.08791208791209]
137,2026-02-26 22:17:17,[-96.7032967032967|-74.72527472527473|-82.78388278388279|-84.98168498168498|-85.71428571428571]
138,2026-02-26 22:17:17,[-76.92307692307692|-78.3882783882784|-110.62271062271063|-129.67032967032966|-97.43589743589743]
