Packet_Number,Timestamp,Data
320,2026-02-27 04:53:42,[-134.06593406593407|-150.1831501831502|-142.85714285714286|-125.27472527472527|-142.12454212454213]
321,2026-02-27 04:53:42,[-113.55311355311355|-156.04395604395606|-126.73992673992674|-102.56410256410257|-120.87912087912088]
322,2026-02-27 04:53:42,[-88.64468864468864|-112.08791208791209|-103.2967032967033|-112.08791208791209|-142.85714285714286]
323,2026-02-27 04:53:42,[-83.51648351648352|-100.36630036630036|-88.64468864468864|-75.45787545787546|-90.10989010989012]
324,2026-02-27 04:53:42,[-63.73626373626374|-115.01831501831502|-90.10989010989012|-41.75824175824176|-38.827838827838825]
325,2026-02-27 04:53:43,[-6.593406593406593|-37.362637362637365|-52.747252747252745|-88.64468864468864|-133.33333333333334]
326,2026-02-27 04:53:43,[-73.99267399267399|-79.85347985347985|-73.99267399267399|-64.46886446886447|-87.17948717948718]
327,2026-02-27 04:53:43,[-76.92307692307692|-88.64468864468864|139.9267399267399|799.2673992673992|1499.6336996336997]
328,2026-02-27 04:53:43,[1436.6300366300366|181.6849816849817|-501.83150183150184|-392.6739926739927|-191.94139194139194]
329,2026-02-27 04:53:43,[-35.8974358974359|-31.501831501831504|-21.245421245421245|-12.454212454212454|-21.245421245421245]
330,2026-02-27 04:53:43,[25.641025641025642|-14.652014652014651|21.978021978021978|50.54945054945055|38.095238095238095]
331,2026-02-27 04:53:43,[78.3882783882784|72.52747252747253|88.64468864468864|90.10989010989012|76.19047619047619]
332,2026-02-27 04:53:43,[161.17216117216117|167.76556776556777|197.06959706959708|242.49084249084248|257.14285714285717]
333,2026-02-27 04:53:43,[322.34432234432234|323.0769230769231|396.3369963369963|462.27106227106225|484.24908424908426]
334,2026-02-27 04:53:43,[545.054945054945|541.3919413919414|550.1831501831501|515.018315018315|435.8974358974359]
335,2026-02-27 04:53:43,[413.1868131868132|287.1794871794872|173.62637362637363|54.94505494505494|-84.24908424908425]
336,2026-02-27 04:53:43,[-154.57875457875457|-271.79487179487177|-299.6336996336996|-315.75091575091574|-353.84615384615387]
337,2026-02-27 04:53:43,[-342.85714285714283|-365.56776556776555|-353.84615384615387|-365.56776556776555|-396.3369963369963]
338,2026-02-27 04:53:43,[-322.34432234432234|-334.0659340659341|-317.94871794871796|-300.3663003663004|-314.2857142857143]
339,2026-02-27 04:53:43,[-276.1904761904762|-320.1465201465202|-293.7728937728938|-267.3992673992674|-287.9120879120879]
340,2026-02-27 04:53:43,[-257.87545787545787|-283.5164835164835|-273.992673992674|-290.1098901098901|-318.68131868131866]
341,2026-02-27 04:53:43,[-264.46886446886447|-289.3772893772894|-276.1904761904762|-267.3992673992674|-293.040293040293]
342,2026-02-27 04:53:43,[-258.6080586080586|-306.959706959707|-273.2600732600733|-251.28205128205127|-267.3992673992674]
343,2026-02-27 04:53:43,[-240.2930402930403|-260.0732600732601|-246.15384615384616|-258.6080586080586|-287.9120879120879]
344,2026-02-27 04:53:43,[-226.37362637362637|-239.56043956043956|-226.37362637362637|-214.65201465201466|-228.57142857142858]
345,2026-02-27 04:53:43,[-201.46520146520146|-241.02564102564102|-213.1868131868132|-194.13919413919413|-213.1868131868132]
346,2026-02-27 04:53:43,[-179.48717948717947|-200.0|-182.41758241758242|-191.2087912087912|-213.91941391941393]
347,2026-02-27 04:53:43,[-166.3003663003663|-188.2783882783883|-167.76556776556777|-161.17216117216117|-180.21978021978023]
348,2026-02-27 04:53:43,[-153.1135531135531|-219.04761904761904|-176.55677655677655|-154.57875457875457|-170.6959706959707]
349,2026-02-27 04:53:44,[-134.06593406593407|-155.3113553113553|-147.98534798534797|-167.03296703296704|-191.2087912087912]
350,2026-02-27 04:53:44,[-129.67032967032966|-148.71794871794873|-131.86813186813185|-124.54212454212454|-154.57875457875457]
351,2026-02-27 04:53:44,[-112.82051282051282|-124.54212454212454|-87.17948717948718|-76.19047619047619|-109.89010989010988]
352,2026-02-27 04:53:44,[-106.22710622710623|-154.57875457875457|-145.78754578754578|-161.17216117216117|-188.2783882783883]
353,2026-02-27 04:53:44,[-125.27472527472527|-136.996336996337|-129.67032967032966|-135.53113553113553|-95.97069597069597]
354,2026-02-27 04:53:44,[173.62637362637363|753.8461538461538|1499.6336996336997|1026.3736263736264|-28.571428571428573]
355,2026-02-27 04:53:44,[-565.5677655677656|-433.6996336996337|-200.73260073260073|-114.28571428571429|-120.14652014652015]
356,2026-02-27 04:53:44,[-62.27106227106227|-73.26007326007326|-50.54945054945055|-29.304029304029303|-38.827838827838825]
357,2026-02-27 04:53:44,[-3.663003663003663|-32.967032967032964|5.128205128205129|25.641025641025642|21.978021978021978]
358,2026-02-27 04:53:44,[60.8058608058608|56.41025641025641|88.64468864468864|85.71428571428571|84.24908424908425]
359,2026-02-27 04:53:44,[168.4981684981685|180.95238095238096|230.76923076923077|278.38827838827837|304.02930402930406]
360,2026-02-27 04:53:44,[383.8827838827839|380.2197802197802|450.54945054945057|494.5054945054945|488.64468864468864]
361,2026-02-27 04:53:44,[513.5531135531136|460.8058608058608|427.1062271062271|319.4139194139194|179.48717948717947]
362,2026-02-27 04:53:44,[107.6923076923077|-31.501831501831504|-123.80952380952381|-213.1868131868132|-295.23809523809524]
363,2026-02-27 04:53:44,[-312.0879120879121|-396.3369963369963|-384.61538461538464|-384.61538461538464|-405.12820512820514]
364,2026-02-27 04:53:44,[-378.75457875457874|-393.4065934065934|-371.42857142857144|-380.2197802197802|-402.1978021978022]
365,2026-02-27 04:53:44,[-334.7985347985348|-342.12454212454213|-320.8791208791209|-311.35531135531136|-320.1465201465202]
366,2026-02-27 04:53:44,[-287.1794871794872|-331.86813186813185|-296.7032967032967|-285.7142857142857|-302.56410256410254]
367,2026-02-27 04:53:44,[-271.79487179487177|-299.6336996336996|-285.7142857142857|-301.0989010989011|-334.7985347985348]
368,2026-02-27 04:53:44,[-275.45787545787545|-298.16849816849816|-284.98168498168496|-273.992673992674|-289.3772893772894]
369,2026-02-27 04:53:44,[-261.53846153846155|-305.4945054945055|-274.72527472527474|-261.53846153846155|-276.1904761904762]
370,2026-02-27 04:53:44,[-239.56043956043956|-263.7362637362637|-241.02564102564102|-260.8058608058608|-283.5164835164835]
371,2026-02-27 04:53:44,[-223.44322344322345|-238.0952380952381|-217.58241758241758|-213.1868131868132|-226.37362637362637]
372,2026-02-27 04:53:44,[-195.6043956043956|-242.49084249084248|-212.45421245421247|-194.13919413919413|-201.46520146520146]
373,2026-02-27 04:53:44,[-174.35897435897436|-200.0|-177.28937728937728|-200.0|-227.83882783882783]
374,2026-02-27 04:53:45,[-161.17216117216117|-173.62637362637363|-156.04395604395606|-153.84615384615384|-158.97435897435898]
375,2026-02-27 04:53:45,[-131.13553113553112|-179.48717948717947|-143.5897435897436|-125.27472527472527|-146.5201465201465]
376,2026-02-27 04:53:45,[-110.62271062271063|-131.86813186813185|-120.87912087912088|-134.06593406593407|-158.97435897435898]
377,2026-02-27 04:53:45,[-112.08791208791209|-126.00732600732601|-73.99267399267399|-51.282051282051285|-67.3992673992674]
378,2026-02-27 04:53:45,[-50.54945054945055|-122.34432234432235|-115.01831501831502|-117.94871794871794|-123.07692307692308]
379,2026-02-27 04:53:45,[-87.17948717948718|-113.55311355311355|-94.50549450549451|-119.41391941391942|-165.56776556776558]
380,2026-02-27 04:53:45,[-63.73626373626374|161.17216117216117|876.9230769230769|1499.6336996336997|1309.1575091575091]
