Packet_Number,Timestamp,Battery_V,Battery_Pct,Temp,Leads
343,2026-02-27 04:53:43,3.74,36.9,34.69,0
344,2026-02-27 04:53:43,3.74,36.9,34.69,0
345,2026-02-27 04:53:43,3.76,36.9,34.69,0
346,2026-02-27 04:53:43,3.76,36.9,34.69,0
347,2026-02-27 04:53:43,3.76,36.9,34.69,0
348,2026-02-27 04:53:43,3.76,36.9,34.69,0
349,2026-02-27 04:53:44,3.76,36.9,34.69,0
350,2026-02-27 04:53:44,3.76,36.9,34.69,0
351,2026-02-27 04:53:44,3.76,36.9,34.69,0
352,2026-02-27 04:53:44,3.76,36.9,34.69,0
353,2026-02-27 04:53:44,3.76,36.9,34.69,0
354,2026-02-27 04:53:44,3.76,36.9,34.62,0
355,2026-02-27 04:53:44,3.76,36.9,34.62,0
356,2026-02-27 04:53:44,3.76,36.9,34.62,0
357,2026-02-27 04:53:44,3.76,36.9,34.62,0
358,2026-02-27 04:53:44,3.76,36.9,34.62,0
359,2026-02-27 04:53:44,3.76,36.9,34.62,0
360,2026-02-27 04:53:44,3.76,36.9,34.81,0
361,2026-02-27 04:53:44,3.76,36.9,34.81,0
362,2026-02-27 04:53:44,3.76,36.9,34.81,0
363,2026-02-27 04:53:44,3.76,36.9,34.81,0
364,2026-02-27 04:53:44,3.75,36.9,34.81,0
365,2026-02-27 04:53:44,3.75,36.9,34.81,0
366,2026-02-27 04:53:44,3.75,36.9,34.62,0
367,2026-02-27 04:53:44,3.75,36.9,34.62,0
368,2026-02-27 04:53:44,3.75,36.9,34.62,0
369,2026-02-27 04:53:44,3.75,36.9,34.62,0
370,2026-02-27 04:53:44,3.76,36.9,34.62,0
371,2026-02-27 04:53:44,3.76,36.9,34.62,0
372,2026-02-27 04:53:44,3.76,36.9,34.94,0
373,2026-02-27 04:53:44,3.76,36.9,34.94,0
374,2026-02-27 04:53:45,3.76,36.9,34.94,0
375,2026-02-27 04:53:45,3.76,36.9,34.94,0
376,2026-02-27 04:53:45,3.76,36.9,34.94,0
377,2026-02-27 04:53:45,3.76,36.9,34.94,0
378,2026-02-27 04:53:45,3.76,36.9,34.75,0
379,2026-02-27 04:53:45,3.76,36.9,34.75,0
380,2026-02-27 04:53:45,3.76,36.9,34.75,0
381,2026-02-27 04:53:45,3.76,36.9,34.75,0
382,2026-02-27 04:53:45,3.76,36.9,34.75,0
383,2026-02-27 04:53:45,3.76,36.9,34.75,0
384,2026-02-27 04:53:45,3.76,36.9,34.75,0
385,2026-02-27 04:53:45,3.76,36.9,34.75,0
386,2026-02-27 04:53:45,3.76,36.9,34.75,0
387,2026-02-27 04:53:45,3.76,36.9,34.75,0
388,2026-02-27 04:53:45,3.76,36.9,34.75,0
389,2026-02-27 04:53:45,3.76,36.9,34.75,0
390,2026-02-27 04:53:45,3.76,36.9,34.75,0
391,2026-02-27 04:53:45,3.76,36.9,34.75,0
392,2026-02-27 04:53:45,3.76,36.9,34.75,0
393,2026-02-27 04:53:45,3.76,36.9,34.75,0
394,2026-02-27 04:53:45,3.76,36.9,34.75,0
395,2026-02-27 04:53:45,3.76,36.9,34.75,0
396,2026-02-27 04:53:45,3.76,36.9,34.69,0
397,2026-02-27 04:53:45,3.76,36.9,34.69,0
398,2026-02-27 04:53:45,3.76,36.9,34.69,0
399,2026-02-27 04:53:45,3.76,36.9,34.69,0
400,2026-02-27 04:53:46,3.76,36.9,34.69,0
401,2026-02-27 04:53:46,3.76,36.9,34.69,0
402,2026-02-27 04:53:46,3.76,36.9,34.69,0
403,2026-02-27 04:53:46,3.76,36.9,34.69,0
404,2026-02-27 04:53:46,3.76,36.9,34.69,0
405,2026-02-27 04:53:46,3.76,36.9,34.69,0
406,2026-02-27 04:53:46,3.76,36.9,34.69,0
407,2026-02-27 04:53:46,3.76,36.9,34.69,0
408,2026-02-27 04:53:46,3.76,36.9,34.69,0
409,2026-02-27 04:53:46,3.76,36.9,34.69,0
410,2026-02-27 04:53:46,3.76,36.9,34.69,0
411,2026-02-27 04:53:46,3.76,36.9,34.69,0
412,2026-02-27 04:53:46,3.76,36.9,34.69,0
413,2026-02-27 04:53:46,3.76,36.9,34.69,0
414,2026-02-27 04:53:46,3.76,36.9,34.62,0
415,2026-02-27 04:53:46,3.76,36.9,34.62,0
416,2026-02-27 04:53:46,3.76,36.9,34.62,0
417,2026-02-27 04:53:46,3.76,36.9,34.62,0
418,2026-02-27 04:53:46,3.76,36.9,34.62,0
419,2026-02-27 04:53:46,3.76,36.9,34.62,0
420,2026-02-27 04:53:46,3.76,36.9,34.75,0
421,2026-02-27 04:53:46,3.76,36.9,34.75,0
422,2026-02-27 04:53:46,3.76,36.9,34.75,0
423,2026-02-27 04:53:46,3.76,36.9,34.75,0
424,2026-02-27 04:53:47,3.76,36.9,34.75,0
425,2026-02-27 04:53:47,3.76,36.9,34.75,0
426,2026-02-27 04:53:47,3.76,36.9,34.69,0
427,2026-02-27 04:53:47,3.76,36.9,34.69,0
428,2026-02-27 04:53:47,3.76,36.9,34.69,0
429,2026-02-27 04:53:47,3.76,36.9,34.69,0
430,2026-02-27 04:53:47,3.76,36.9,34.69,0
431,2026-02-27 04:53:47,3.76,36.9,34.69,0
432,2026-02-27 04:53:47,3.76,36.9,34.69,0
433,2026-02-27 04:53:47,3.76,36.9,34.69,0
434,2026-02-27 04:53:47,3.76,36.9,34.69,0
435,2026-02-27 04:53:47,3.76,36.9,34.69,0
436,2026-02-27 04:53:47,3.76,36.9,34.69,0
437,2026-02-27 04:53:47,3.76,36.9,34.69,0
438,2026-02-27 04:53:47,3.76,36.9,34.81,0
439,2026-02-27 04:53:47,3.76,36.9,34.81,0
440,2026-02-27 04:53:47,3.76,36.9,34.81,0
441,2026-02-27 04:53:47,3.76,36.9,34.81,0
442,2026-02-27 04:53:47,3.76,36.9,34.81,0
443,2026-02-27 04:53:47,3.76,36.9,34.81,0
444,2026-02-27 04:53:47,3.76,36.9,34.81,0
445,2026-02-27 04:53:47,3.76,36.9,34.81,0
446,2026-02-27 04:53:47,3.76,36.9,34.81,0
447,2026-02-27 04:53:47,3.76,36.9,34.81,0
448,2026-02-27 04:53:47,3.76,36.9,34.81,0
449,2026-02-27 04:53:48,3.76,36.9,34.81,0
450,2026-02-27 04:53:48,3.76,36.9,34.88,0
451,2026-02-27 04:53:48,3.76,36.9,34.88,0
452,2026-02-27 04:53:48,3.76,36.9,34.88,0
453,2026-02-27 04:53:48,3.76,36.9,34.88,0
454,2026-02-27 04:53:48,3.76,36.9,34.88,0
455,2026-02-27 04:53:48,3.76,36.9,34.88,0
456,2026-02-27 04:53:48,3.76,36.9,34.75,0
457,2026-02-27 04:53:48,3.76,36.9,34.75,0
458,2026-02-27 04:53:48,3.75,36.9,34.75,0
459,2026-02-27 04:53:48,3.75,36.9,34.75,0
460,2026-02-27 04:53:48,3.75,36.9,34.75,0
461,2026-02-27 04:53:48,3.75,36.9,34.75,0
462,2026-02-27 04:53:48,3.75,36.9,34.69,0
463,2026-02-27 04:53:48,3.75,36.9,34.69,0
464,2026-02-27 04:53:48,3.76,36.9,34.69,0
465,2026-02-27 04:53:48,3.76,36.9,34.69,0
466,2026-02-27 04:53:48,3.76,36.9,34.69,0
467,2026-02-27 04:53:48,3.76,36.9,34.69,0
468,2026-02-27 04:53:48,3.76,36.9,34.94,0
469,2026-02-27 04:53:48,3.76,36.9,34.94,0
470,2026-02-27 04:53:48,3.76,36.9,34.94,0
471,2026-02-27 04:53:48,3.76,36.9,34.94,0
472,2026-02-27 04:53:48,3.76,36.9,34.94,0
473,2026-02-27 04:53:49,3.76,36.9,34.94,0
474,2026-02-27 04:53:49,3.76,36.9,34.88,0
475,2026-02-27 04:53:49,3.76,36.9,34.88,0
476,2026-02-27 04:53:49,3.76,36.9,34.88,0
477,2026-02-27 04:53:49,3.76,36.9,34.88,0
478,2026-02-27 04:53:49,3.76,36.9,34.88,0
479,2026-02-27 04:53:49,3.76,36.9,34.88,0
480,2026-02-27 04:53:49,3.76,36.9,34.81,0
481,2026-02-27 04:53:49,3.76,36.9,34.81,0
482,2026-02-27 04:53:49,3.76,36.9,34.81,0
483,2026-02-27 04:53:49,3.76,36.9,34.81,0
484,2026-02-27 04:53:49,3.76,36.9,34.81,0
485,2026-02-27 04:53:49,3.76,36.9,34.81,0
486,2026-02-27 04:53:49,3.76,36.9,34.88,0
487,2026-02-27 04:53:49,3.76,36.9,34.88,0
488,2026-02-27 04:53:49,3.76,36.9,34.88,0
489,2026-02-27 04:53:49,3.76,36.9,34.88,0
490,2026-02-27 04:53:49,3.76,36.9,34.88,0
491,2026-02-27 04:53:49,3.76,36.9,34.88,0
492,2026-02-27 04:53:49,3.76,36.9,35.00,0
493,2026-02-27 04:53:49,3.76,36.9,35.00,0
494,2026-02-27 04:53:49,3.76,36.9,35.00,0
495,2026-02-27 04:53:49,3.76,36.9,35.00,0
496,2026-02-27 04:53:49,3.76,36.9,35.00,0
497,2026-02-27 04:53:49,3.76,36.9,35.00,0
498,2026-02-27 04:53:49,3.76,36.9,34.81,0
499,2026-02-27 04:53:50,3.76,36.9,34.81,0
500,2026-02-27 04:53:50,3.76,36.9,34.81,0
501,2026-02-27 04:53:50,3.76,36.9,34.81,0
502,2026-02-27 04:53:50,3.76,36.9,34.81,0
503,2026-02-27 04:53:50,3.76,36.9,34.81,0
504,2026-02-27 04:53:50,3.76,36.9,34.94,0
505,2026-02-27 04:53:50,3.76,36.9,34.94,0
506,2026-02-27 04:53:50,3.76,36.9,34.94,0
507,2026-02-27 04:53:50,3.76,36.9,34.94,0
508,2026-02-27 04:53:50,3.76,36.9,34.94,0
509,2026-02-27 04:53:50,3.76,36.9,34.94,0
510,2026-02-27 04:53:50,3.76,36.9,34.88,0
511,2026-02-27 04:53:50,3.76,36.9,34.88,0
512,2026-02-27 04:53:50,3.76,36.9,34.88,0
513,2026-02-27 04:53:50,3.76,36.9,34.88,0
514,2026-02-27 04:53:50,3.76,36.9,34.88,0
515,2026-02-27 04:53:50,3.76,36.9,34.88,0
516,2026-02-27 04:53:50,3.76,36.9,34.88,0
517,2026-02-27 04:53:50,3.76,36.9,34.88,0
518,2026-02-27 04:53:50,3.76,36.9,34.88,0
519,2026-02-27 04:53:50,3.76,36.9,34.88,0
520,2026-02-27 04:53:50,3.76,36.9,34.88,0
521,2026-02-27 04:53:50,3.76,36.9,34.88,0
522,2026-02-27 04:53:50,3.76,36.9,35.00,0
523,2026-02-27 04:53:50,3.76,36.9,35.00,0
524,2026-02-27 04:53:51,3.76,36.9,35.00,0
525,2026-02-27 04:53:51,3.76,36.9,35.00,0
526,2026-02-27 04:53:51,3.76,36.9,35.00,0
527,2026-02-27 04:53:51,3.76,36.9,35.00,0
528,2026-02-27 04:53:51,3.76,36.9,35.00,0
529,2026-02-27 04:53:51,3.76,36.9,35.00,0
530,2026-02-27 04:53:51,3.76,36.9,35.00,0
531,2026-02-27 04:53:51,3.76,36.9,35.00,0
532,2026-02-27 04:53:51,3.76,36.9,35.00,0
533,2026-02-27 04:53:51,3.74,36.9,35.00,0
534,2026-02-27 04:53:51,3.74,36.9,34.81,0
535,2026-02-27 04:53:51,3.74,36.9,34.81,0
536,2026-02-27 04:53:51,3.74,36.9,34.81,0
537,2026-02-27 04:53:51,3.74,36.9,34.81,0
538,2026-02-27 04:53:51,3.74,36.9,34.81,0
539,2026-02-27 04:53:51,3.76,36.9,34.81,0
540,2026-02-27 04:53:51,3.76,36.9,34.88,0
541,2026-02-27 04:53:51,3.76,36.9,34.88,0
542,2026-02-27 04:53:51,3.76,36.9,34.88,0
543,2026-02-27 04:53:51,3.76,36.9,34.88,0
544,2026-02-27 04:53:51,3.76,36.9,34.88,0
545,2026-02-27 04:53:51,3.76,36.9,34.88,0
546,2026-02-27 04:53:51,3.76,36.9,34.88,0
547,2026-02-27 04:53:51,3.76,36.9,34.88,0
548,2026-02-27 04:53:51,3.76,36.9,34.88,0
549,2026-02-27 04:53:51,3.76,36.9,34.88,0
550,2026-02-27 04:53:52,3.76,36.9,34.88,0
551,2026-02-27 04:53:52,3.76,36.9,34.88,0
552,2026-02-27 04:53:52,3.76,36.9,34.88,0
553,2026-02-27 04:53:52,3.76,36.9,34.88,0
554,2026-02-27 04:53:52,3.76,36.9,34.88,0
555,2026-02-27 04:53:52,3.76,36.9,34.88,0
556,2026-02-27 04:53:52,3.76,36.9,34.88,0
557,2026-02-27 04:53:52,3.76,36.9,34.88,0
558,2026-02-27 04:53:52,3.76,36.9,35.00,0
559,2026-02-27 04:53:52,3.76,36.9,35.00,0
560,2026-02-27 04:53:52,3.76,36.9,35.00,0
561,2026-02-27 04:53:52,3.76,36.9,35.00,0
562,2026-02-27 04:53:52,3.76,36.9,35.00,0
563,2026-02-27 04:53:52,3.76,36.9,35.00,0
564,2026-02-27 04:53:52,3.76,36.9,35.00,0
565,2026-02-27 04:53:52,3.76,36.9,35.00,0
566,2026-02-27 04:53:52,3.76,36.9,35.00,0
567,2026-02-27 04:53:52,3.76,36.9,35.00,0
568,2026-02-27 04:53:52,3.76,36.9,35.00,0
569,2026-02-27 04:53:52,3.76,36.9,35.00,0
570,2026-02-27 04:53:52,3.75,36.9,34.88,0
571,2026-02-27 04:53:52,3.75,36.9,34.88,0
572,2026-02-27 04:53:52,3.75,36.9,34.88,0
573,2026-02-27 04:53:52,3.75,36.9,34.88,0
574,2026-02-27 04:53:53,3.75,36.9,34.88,0
575,2026-02-27 04:53:53,3.75,36.9,34.88,0
576,2026-02-27 04:53:53,3.76,36.9,34.88,0
577,2026-02-27 04:53:53,3.76,36.9,34.88,0
578,2026-02-27 04:53:53,3.76,36.9,34.88,0
579,2026-02-27 04:53:53,3.76,36.9,34.88,0
580,2026-02-27 04:53:53,3.76,36.9,34.88,0
581,2026-02-27 04:53:53,3.76,36.9,34.88,0
582,2026-02-27 04:53:53,3.76,36.9,34.88,0
583,2026-02-27 04:53:53,3.76,36.9,34.88,0
584,2026-02-27 04:53:53,3.76,36.9,34.88,0
585,2026-02-27 04:53:53,3.76,36.9,34.88,0
586,2026-02-27 04:53:53,3.76,36.9,34.88,0
587,2026-02-27 04:53:53,3.76,36.9,34.88,0
588,2026-02-27 04:53:53,3.76,36.9,35.06,0
589,2026-02-27 04:53:53,3.76,36.9,35.06,0
590,2026-02-27 04:53:53,3.76,36.9,35.06,0
591,2026-02-27 04:53:53,3.76,36.9,35.06,0
592,2026-02-27 04:53:53,3.76,36.9,35.06,0
593,2026-02-27 04:53:53,3.76,36.9,35.06,0
594,2026-02-27 04:53:53,3.76,36.9,34.88,0
595,2026-02-27 04:53:53,3.76,36.9,34.88,0
596,2026-02-27 04:53:53,3.76,36.9,34.88,0
597,2026-02-27 04:53:53,3.76,36.9,34.88,0
598,2026-02-27 04:53:53,3.76,36.9,34.88,0
599,2026-02-27 04:53:54,3.76,36.9,34.88,0
600,2026-02-27 04:53:54,3.76,36.9,35.00,0
601,2026-02-27 04:53:54,3.76,36.9,35.00,0
602,2026-02-27 04:53:54,3.76,36.9,35.00,0
603,2026-02-27 04:53:54,3.76,36.9,35.00,0
604,2026-02-27 04:53:54,3.76,36.9,35.00,0
605,2026-02-27 04:53:54,3.76,36.9,35.00,0
606,2026-02-27 04:53:54,3.76,36.9,35.12,0
607,2026-02-27 04:53:54,3.76,36.9,35.12,0
608,2026-02-27 04:53:54,3.74,36.9,35.12,0
609,2026-02-27 04:53:54,3.74,36.9,35.12,0
610,2026-02-27 04:53:54,3.74,36.9,35.12,0
611,2026-02-27 04:53:54,3.74,36.9,35.12,0
612,2026-02-27 04:53:54,3.74,36.9,34.75,0
613,2026-02-27 04:53:54,3.74,36.9,34.75,0
614,2026-02-27 04:53:54,3.76,36.9,34.75,0
615,2026-02-27 04:53:54,3.76,36.9,34.75,0
616,2026-02-27 04:53:54,3.76,36.9,34.75,0
617,2026-02-27 04:53:54,3.76,36.9,34.75,0
618,2026-02-27 04:53:54,3.76,36.9,35.19,0
619,2026-02-27 04:53:54,3.76,36.9,35.19,0
620,2026-02-27 04:53:54,3.76,36.9,35.19,0
621,2026-02-27 04:53:54,3.76,36.9,35.19,0
622,2026-02-27 04:53:54,3.76,36.9,35.19,0
623,2026-02-27 04:53:54,3.76,36.9,35.19,0
624,2026-02-27 04:53:54,3.76,36.9,35.12,0
625,2026-02-27 04:53:55,3.76,36.9,35.12,0
626,2026-02-27 04:53:55,3.76,36.9,35.12,0
627,2026-02-27 04:53:55,3.76,36.9,35.12,0
628,2026-02-27 04:53:55,3.76,36.9,35.12,0
629,2026-02-27 04:53:55,3.76,36.9,35.12,0
630,2026-02-27 04:53:55,3.76,36.9,34.94,0
631,2026-02-27 04:53:55,3.76,36.9,34.94,0
632,2026-02-27 04:53:55,3.76,36.9,34.94,0
633,2026-02-27 04:53:55,3.76,36.9,34.94,0
634,2026-02-27 04:53:55,3.76,36.9,34.94,0
635,2026-02-27 04:53:55,3.76,36.9,34.94,0
636,2026-02-27 04:53:55,3.76,36.9,35.12,0
637,2026-02-27 04:53:55,3.76,36.9,35.12,0
638,2026-02-27 04:53:55,3.76,36.9,35.12,0
639,2026-02-27 04:53:55,3.76,36.9,35.12,0
640,2026-02-27 04:53:55,3.76,36.9,35.12,0
641,2026-02-27 04:53:55,3.76,36.9,35.12,0
642,2026-02-27 04:53:55,3.76,36.9,35.06,0
643,2026-02-27 04:53:55,3.76,36.9,35.06,0
644,2026-02-27 04:53:55,3.76,36.9,35.06,0
645,2026-02-27 04:53:55,3.75,36.9,35.06,0
646,2026-02-27 04:53:55,3.75,36.9,35.06,0
647,2026-02-27 04:53:55,3.75,36.9,35.06,0
648,2026-02-27 04:53:55,3.75,36.9,34.94,0
649,2026-02-27 04:53:56,3.75,36.9,34.94,0
650,2026-02-27 04:53:56,3.75,36.9,34.94,0
651,2026-02-27 04:53:56,3.76,36.9,34.94,0
652,2026-02-27 04:53:56,3.76,36.9,34.94,0
653,2026-02-27 04:53:56,3.76,36.9,34.94,0
654,2026-02-27 04:53:56,3.76,36.9,35.00,0
655,2026-02-27 04:53:56,3.76,36.9,35.00,0
656,2026-02-27 04:53:56,3.76,36.9,35.00,0
657,2026-02-27 04:53:56,3.76,36.9,35.00,0
658,2026-02-27 04:53:56,3.75,36.9,35.00,0
659,2026-02-27 04:53:56,3.75,36.9,35.00,0
660,2026-02-27 04:53:56,3.75,36.9,34.94,0
661,2026-02-27 04:53:56,3.75,36.9,34.94,0
662,2026-02-27 04:53:56,3.75,36.9,34.94,0
663,2026-02-27 04:53:56,3.75,36.9,34.94,0
664,2026-02-27 04:53:56,3.76,36.9,34.94,0
665,2026-02-27 04:53:56,3.76,36.9,34.94,0
666,2026-02-27 04:53:56,3.76,36.9,35.00,0
667,2026-02-27 04:53:56,3.76,36.9,35.00,0
