Packet_Number,Timestamp,Data
59,2026-01-31 19:26:08,[-189.74358974358975|-188.2783882783883|-180.95238095238096|-205.86080586080587|-180.95238095238096]
60,2026-01-31 19:26:08,[-192.67399267399267|-192.67399267399267|-183.15018315018315|-189.74358974358975|-191.2087912087912]
61,2026-01-31 19:26:08,[-192.67399267399267|-189.74358974358975|-188.2783882783883|-192.67399267399267|-183.15018315018315]
62,2026-01-31 19:26:08,[-192.67399267399267|-180.95238095238096|-172.16117216117217|-196.33699633699635|-167.76556776556777]
63,2026-01-31 19:26:08,[-173.62637362637363|-171.42857142857142|-159.7069597069597|-167.76556776556777|-158.24175824175825]
64,2026-01-31 19:26:08,[-160.43956043956044|-157.50915750915752|-153.1135531135531|-159.7069597069597|-153.1135531135531]
65,2026-01-31 19:26:08,[-157.50915750915752|-156.7765567765568|-156.04395604395606|-167.76556776556777|-136.996336996337]
66,2026-01-31 19:26:08,[-142.85714285714286|-143.5897435897436|-135.53113553113553|-136.26373626373626|-123.07692307692308]
67,2026-01-31 19:26:08,[-123.80952380952381|-123.80952380952381|-123.80952380952381|-129.67032967032966|-123.07692307692308]
68,2026-01-31 19:26:08,[-121.6117216117216|-121.6117216117216|-118.68131868131869|-136.996336996337|-107.6923076923077]
69,2026-01-31 19:26:08,[-112.08791208791209|-115.01831501831502|-109.15750915750915|-113.55311355311355|-106.22710622710623]
70,2026-01-31 19:26:08,[-112.08791208791209|-112.08791208791209|-112.08791208791209|-112.08791208791209|-71.7948717948718]
71,2026-01-31 19:26:08,[-64.46886446886447|-75.45787545787546|-82.78388278388279|-123.07692307692308|-108.42490842490842]
72,2026-01-31 19:26:08,[-115.01831501831502|-112.08791208791209|-107.6923076923077|-120.87912087912088|-109.15750915750915]
73,2026-01-31 19:26:08,[-122.34432234432235|-127.47252747252747|-20.512820512820515|294.5054945054945|679.1208791208791]
74,2026-01-31 19:26:08,[526.7399267399268|5.128205128205129|-428.57142857142856|-321.61172161172163|-109.89010989010988]
75,2026-01-31 19:26:09,[-98.9010989010989|-94.50549450549451|-77.65567765567765|-79.85347985347985|-71.7948717948718]
76,2026-01-31 19:26:09,[-65.93406593406593|-62.27106227106227|-50.54945054945055|-52.014652014652015|-37.362637362637365]
77,2026-01-31 19:26:09,[-29.304029304029303|-18.315018315018314|-6.593406593406593|-15.384615384615385|19.047619047619047]
78,2026-01-31 19:26:09,[25.641025641025642|44.688644688644686|78.3882783882784|103.2967032967033|134.06593406593407]
79,2026-01-31 19:26:09,[157.50915750915752|186.8131868131868|214.65201465201466|220.51282051282053|233.6996336996337]
80,2026-01-31 19:26:09,[225.64102564102564|208.05860805860806|174.35897435897436|107.6923076923077|69.59706959706959]
