Packet_Number,Timestamp,Data
465,2026-02-27 00:10:05,-229.3040293040293|-235.89743589743588|-220.51282051282053|-225.64102564102564|-213.1868131868132
466,2026-02-27 00:10:05,-200.73260073260073|-197.06959706959708|-194.87179487179486|-203.66300366300365|-195.6043956043956
467,2026-02-27 00:10:05,-189.74358974358975|-183.15018315018315|-164.83516483516485|-179.48717948717947|-172.8937728937729
468,2026-02-27 00:10:05,-167.76556776556777|-172.8937728937729|-169.23076923076923|-177.28937728937728|-157.50915750915752
469,2026-02-27 00:10:05,-160.43956043956044|-161.9047619047619|-145.05494505494505|-145.78754578754578|-135.53113553113553
470,2026-02-27 00:10:05,-125.27472527472527|-125.27472527472527|-119.41391941391942|-114.28571428571429|-114.28571428571429
471,2026-02-27 00:10:05,-116.48351648351648|-120.87912087912088|-115.01831501831502|-117.94871794871794|-111.35531135531136
472,2026-02-27 00:10:05,-117.94871794871794|-110.62271062271063|-100.36630036630036|-95.23809523809524|-76.92307692307692
473,2026-02-27 00:10:05,-72.52747252747253|-78.3882783882784|-79.85347985347985|-55.67765567765568|-15.384615384615385
474,2026-02-27 00:10:06,-16.84981684981685|-43.223443223443226|-66.66666666666667|-107.6923076923077|-120.14652014652015
475,2026-02-27 00:10:06,-109.15750915750915|-106.22710622710623|-101.83150183150182|-117.94871794871794|-101.83150183150182
476,2026-02-27 00:10:06,-125.27472527472527|-54.94505494505494|260.0732600732601|1205.128205128205|1499.6336996336997
477,2026-02-27 00:10:06,1270.3296703296703|-200.0|-720.8791208791209|-455.67765567765565|-200.0
478,2026-02-27 00:10:06,-108.42490842490842|-101.83150183150182|-79.85347985347985|-76.92307692307692|-62.27106227106227
479,2026-02-27 00:10:06,-53.47985347985348|-41.75824175824176|-25.641025641025642|-25.641025641025642|-8.791208791208792
480,2026-02-27 00:10:06,13.186813186813186|37.362637362637365|52.747252747252745|63.73626373626374|97.43589743589743
481,2026-02-27 00:10:06,126.73992673992674|154.57875457875457|204.3956043956044|242.49084249084248|290.84249084249086
482,2026-02-27 00:10:06,349.45054945054943|419.7802197802198|488.64468864468864|523.0769230769231|556.7765567765567
483,2026-02-27 00:10:06,570.6959706959707|545.7875457875458|509.8901098901099|435.8974358974359|322.34432234432234
484,2026-02-27 00:10:06,183.15018315018315|50.54945054945055|-60.07326007326007|-157.50915750915752|-216.11721611721612
485,2026-02-27 00:10:06,-258.6080586080586|-296.7032967032967|-309.8901098901099|-323.0769230769231|-330.4029304029304
486,2026-02-27 00:10:06,-326.007326007326|-331.13553113553115|-317.94871794871796|-323.0769230769231|-317.94871794871796
487,2026-02-27 00:10:06,-298.16849816849816|-298.16849816849816|-293.7728937728938|-295.23809523809524|-278.38827838827837
488,2026-02-27 00:10:06,-268.86446886446885|-276.1904761904762|-264.46886446886447|-272.5274725274725|-271.79487179487177
489,2026-02-27 00:10:06,-271.79487179487177|-275.45787545787545|-273.2600732600733|-284.98168498168496|-282.7838827838828
490,2026-02-27 00:10:06,-284.98168498168496|-286.4468864468864|-273.992673992674|-282.7838827838828|-282.05128205128204
491,2026-02-27 00:10:06,-276.1904761904762|-273.2600732600733|-263.003663003663|-276.1904761904762|-264.46886446886447
492,2026-02-27 00:10:06,-262.27106227106225|-255.67765567765568|-251.28205128205127|-251.28205128205127|-246.8864468864469
493,2026-02-27 00:10:06,-239.56043956043956|-242.49084249084248|-246.8864468864469|-257.87545787545787|-227.83882783882783
494,2026-02-27 00:10:06,-223.44322344322345|-217.58241758241758|-207.32600732600733|-208.05860805860806|-197.06959706959708
495,2026-02-27 00:10:06,-188.2783882783883|-183.88278388278388|-180.95238095238096|-182.41758241758242|-170.6959706959707
496,2026-02-27 00:10:06,-179.48717948717947|-169.96336996336996|-167.76556776556777|-167.03296703296704|-156.04395604395606
497,2026-02-27 00:10:06,-153.84615384615384|-148.71794871794873|-136.996336996337|-147.25274725274724|-136.996336996337
498,2026-02-27 00:10:06,-131.13553113553112|-124.54212454212454|-119.41391941391942|-125.27472527472527|-113.55311355311355
499,2026-02-27 00:10:07,-101.83150183150182|-107.6923076923077|-101.83150183150182|-115.01831501831502|-101.0989010989011
500,2026-02-27 00:10:07,-95.23809523809524|-94.50549450549451|-80.58608058608058|-90.10989010989012|-88.64468864468864
501,2026-02-27 00:10:07,-84.24908424908425|-83.51648351648352|-73.26007326007326|-83.51648351648352|-78.3882783882784
502,2026-02-27 00:10:07,-80.58608058608058|-74.72527472527473|-73.99267399267399|-76.19047619047619|-54.94505494505494
503,2026-02-27 00:10:07,-43.223443223443226|-54.94505494505494|-27.83882783882784|-3.663003663003663|10.989010989010989
504,2026-02-27 00:10:07,-3.663003663003663|-29.304029304029303|-50.54945054945055|-82.78388278388279|-82.78388278388279
505,2026-02-27 00:10:07,-71.7948717948718|-73.99267399267399|-68.13186813186813|-76.19047619047619|-70.32967032967034
506,2026-02-27 00:10:07,-32.234432234432234|181.6849816849817|866.6666666666666|1499.6336996336997|1499.6336996336997
507,2026-02-27 00:10:07,172.16117216117217|-680.5860805860806|-552.3809523809524|-273.992673992674|-112.08791208791209
508,2026-02-27 00:10:07,-76.92307692307692|-71.7948717948718|-52.747252747252745|-38.095238095238095|-25.641025641025642
509,2026-02-27 00:10:07,-27.83882783882784|-17.582417582417584|6.593406593406593|18.315018315018314|37.362637362637365
510,2026-02-27 00:10:07,44.688644688644686|63.73626373626374|91.57509157509158|111.35531135531136|138.46153846153845
511,2026-02-27 00:10:07,173.62637362637363|204.3956043956044|254.21245421245422|298.16849816849816|368.4981684981685
512,2026-02-27 00:10:07,430.03663003663|498.9010989010989|558.2417582417582|584.6153846153846|600.0
513,2026-02-27 00:10:07,589.7435897435897|560.4395604395604|500.3663003663004|393.4065934065934|268.86446886446885
