Packet_Number,Timestamp,Data
181,2026-02-26 22:18:14,[109334|0]
182,2026-02-26 22:18:14,[109171|0]
183,2026-02-26 22:18:14,[109232|0]
184,2026-02-26 22:18:14,[109261|0]
185,2026-02-26 22:18:14,[109244|0]
186,2026-02-26 22:18:14,[109254|0]
187,2026-02-26 22:18:14,[109243|0]
188,2026-02-26 22:18:14,[109189|0]
189,2026-02-26 22:18:14,[109214|0]
190,2026-02-26 22:18:14,[109244|0]
191,2026-02-26 22:18:14,[109281|0]
192,2026-02-26 22:18:14,[109348|0]
193,2026-02-26 22:18:14,[109371|0]
194,2026-02-26 22:18:14,[109392|0]
195,2026-02-26 22:18:14,[109424|0]
196,2026-02-26 22:18:14,[109443|0]
197,2026-02-26 22:18:14,[109477|0]
198,2026-02-26 22:18:14,[109499|0]
199,2026-02-26 22:18:15,[109533|0]
200,2026-02-26 22:18:15,[109549|0]
201,2026-02-26 22:18:15,[109609|0]
202,2026-02-26 22:18:15,[109548|0]
203,2026-02-26 22:18:15,[109256|0]
204,2026-02-26 22:18:15,[109054|0]
205,2026-02-26 22:18:15,[109032|0]
206,2026-02-26 22:18:15,[109052|0]
207,2026-02-26 22:18:15,[109071|0]
208,2026-02-26 22:18:15,[109084|0]
209,2026-02-26 22:18:15,[109067|0]
210,2026-02-26 22:18:15,[109046|0]
211,2026-02-26 22:18:15,[109032|0]
212,2026-02-26 22:18:15,[109031|0]
213,2026-02-26 22:18:15,[109101|0]
214,2026-02-26 22:18:15,[109143|0]
215,2026-02-26 22:18:15,[109173|0]
216,2026-02-26 22:18:15,[109198|0]
217,2026-02-26 22:18:15,[109221|0]
218,2026-02-26 22:18:15,[109218|0]
219,2026-02-26 22:18:15,[109267|0]
220,2026-02-26 22:18:15,[109307|0]
221,2026-02-26 22:18:15,[109338|0]
222,2026-02-26 22:18:15,[109408|0]
223,2026-02-26 22:18:16,[109423|0]
224,2026-02-26 22:18:16,[109251|0]
225,2026-02-26 22:18:16,[108994|0]
226,2026-02-26 22:18:16,[108893|0]
227,2026-02-26 22:18:16,[108958|0]
228,2026-02-26 22:18:16,[109021|0]
229,2026-02-26 22:18:16,[109029|0]
230,2026-02-26 22:18:16,[109041|0]
231,2026-02-26 22:18:16,[109036|0]
232,2026-02-26 22:18:16,[108973|0]
233,2026-02-26 22:18:16,[108939|0]
234,2026-02-26 22:18:16,[108961|0]
235,2026-02-26 22:18:16,[109006|0]
236,2026-02-26 22:18:16,[109041|0]
237,2026-02-26 22:18:16,[109089|0]
238,2026-02-26 22:18:16,[109119|0]
239,2026-02-26 22:18:16,[109129|0]
240,2026-02-26 22:18:16,[109156|0]
241,2026-02-26 22:18:16,[109176|0]
242,2026-02-26 22:18:16,[109201|0]
243,2026-02-26 22:18:16,[109268|0]
244,2026-02-26 22:18:16,[109334|0]
245,2026-02-26 22:18:16,[109318|0]
246,2026-02-26 22:18:16,[109029|0]
247,2026-02-26 22:18:16,[108780|0]
248,2026-02-26 22:18:17,[108721|0]
249,2026-02-26 22:18:17,[108809|0]
250,2026-02-26 22:18:17,[108804|0]
251,2026-02-26 22:18:17,[108809|0]
252,2026-02-26 22:18:17,[108813|0]
253,2026-02-26 22:18:17,[108824|0]
254,2026-02-26 22:18:17,[108806|0]
255,2026-02-26 22:18:17,[108845|0]
256,2026-02-26 22:18:17,[108918|0]
257,2026-02-26 22:18:17,[108977|0]
258,2026-02-26 22:18:17,[109040|0]
259,2026-02-26 22:18:17,[109062|0]
260,2026-02-26 22:18:17,[109089|0]
261,2026-02-26 22:18:17,[109144|0]
262,2026-02-26 22:18:17,[109180|0]
263,2026-02-26 22:18:17,[109212|0]
264,2026-02-26 22:18:17,[109257|0]
265,2026-02-26 22:18:17,[109303|0]
266,2026-02-26 22:18:17,[109300|0]
267,2026-02-26 22:18:17,[109035|0]
268,2026-02-26 22:18:17,[108790|0]
269,2026-02-26 22:18:17,[108761|0]
270,2026-02-26 22:18:17,[108830|0]
271,2026-02-26 22:18:17,[108833|0]
272,2026-02-26 22:18:17,[108842|0]
273,2026-02-26 22:18:18,[108881|0]
274,2026-02-26 22:18:18,[108893|0]
275,2026-02-26 22:18:18,[108887|0]
276,2026-02-26 22:18:18,[108908|0]
277,2026-02-26 22:18:18,[108942|0]
278,2026-02-26 22:18:18,[109015|0]
279,2026-02-26 22:18:18,[109015|0]
280,2026-02-26 22:18:18,[109070|0]
281,2026-02-26 22:18:18,[109112|0]
282,2026-02-26 22:18:18,[109136|0]
283,2026-02-26 22:18:18,[109202|0]
284,2026-02-26 22:18:18,[109208|0]
285,2026-02-26 22:18:18,[109264|0]
286,2026-02-26 22:18:18,[109332|0]
287,2026-02-26 22:18:18,[109391|0]
288,2026-02-26 22:18:18,[109356|0]
289,2026-02-26 22:18:18,[109070|0]
290,2026-02-26 22:18:18,[108894|0]
291,2026-02-26 22:18:18,[108955|0]
292,2026-02-26 22:18:18,[109045|0]
293,2026-02-26 22:18:18,[109089|0]
294,2026-02-26 22:18:18,[109130|0]
295,2026-02-26 22:18:18,[109162|0]
296,2026-02-26 22:18:18,[109108|0]
297,2026-02-26 22:18:18,[109146|0]
298,2026-02-26 22:18:19,[109194|0]
299,2026-02-26 22:18:19,[109252|0]
300,2026-02-26 22:18:19,[109313|0]
301,2026-02-26 22:18:19,[109355|0]
302,2026-02-26 22:18:19,[109371|0]
303,2026-02-26 22:18:19,[109422|0]
304,2026-02-26 22:18:19,[109458|0]
305,2026-02-26 22:18:19,[109493|0]
306,2026-02-26 22:18:19,[109536|0]
307,2026-02-26 22:18:19,[109590|0]
308,2026-02-26 22:18:19,[109598|0]
309,2026-02-26 22:18:19,[109674|0]
310,2026-02-26 22:18:19,[109493|0]
311,2026-02-26 22:18:19,[109266|0]
312,2026-02-26 22:18:19,[109235|0]
313,2026-02-26 22:18:19,[109365|0]
314,2026-02-26 22:18:19,[109404|0]
315,2026-02-26 22:18:19,[109481|0]
316,2026-02-26 22:18:19,[109501|0]
317,2026-02-26 22:18:19,[109466|0]
318,2026-02-26 22:18:19,[109468|0]
319,2026-02-26 22:18:19,[109502|0]
320,2026-02-26 22:18:19,[109540|0]
321,2026-02-26 22:18:19,[109620|0]
322,2026-02-26 22:18:19,[109666|0]
323,2026-02-26 22:18:20,[109702|0]
324,2026-02-26 22:18:20,[109724|0]
325,2026-02-26 22:18:20,[109749|0]
326,2026-02-26 22:18:20,[109749|0]
327,2026-02-26 22:18:20,[109821|0]
328,2026-02-26 22:18:20,[109860|0]
329,2026-02-26 22:18:20,[109719|0]
330,2026-02-26 22:18:20,[109483|0]
331,2026-02-26 22:18:20,[109426|0]
332,2026-02-26 22:18:20,[109488|0]
333,2026-02-26 22:18:20,[109596|0]
334,2026-02-26 22:18:20,[109637|0]
335,2026-02-26 22:18:20,[109681|0]
336,2026-02-26 22:18:20,[109655|0]
337,2026-02-26 22:18:20,[109638|0]
338,2026-02-26 22:18:20,[109635|0]
339,2026-02-26 22:18:20,[109715|0]
340,2026-02-26 22:18:20,[109775|0]
341,2026-02-26 22:18:20,[109822|0]
342,2026-02-26 22:18:20,[109840|0]
343,2026-02-26 22:18:20,[109899|0]
344,2026-02-26 22:18:20,[109880|0]
345,2026-02-26 22:18:20,[109922|0]
346,2026-02-26 22:18:20,[109953|0]
347,2026-02-26 22:18:20,[109998|0]
348,2026-02-26 22:18:20,[109991|0]
349,2026-02-26 22:18:21,[109745|0]
350,2026-02-26 22:18:21,[109533|0]
351,2026-02-26 22:18:21,[109598|0]
352,2026-02-26 22:18:21,[109700|0]
353,2026-02-26 22:18:21,[109754|0]
354,2026-02-26 22:18:21,[109784|0]
355,2026-02-26 22:18:21,[109784|0]
356,2026-02-26 22:18:21,[109750|0]
357,2026-02-26 22:18:21,[109765|0]
358,2026-02-26 22:18:21,[109804|0]
359,2026-02-26 22:18:21,[109846|0]
360,2026-02-26 22:18:21,[109897|0]
361,2026-02-26 22:18:21,[109922|0]
362,2026-02-26 22:18:21,[109941|0]
363,2026-02-26 22:18:21,[109976|0]
364,2026-02-26 22:18:21,[109998|0]
365,2026-02-26 22:18:21,[110005|0]
366,2026-02-26 22:18:21,[110053|0]
367,2026-02-26 22:18:21,[110072|0]
368,2026-02-26 22:18:21,[110090|0]
369,2026-02-26 22:18:21,[109927|0]
370,2026-02-26 22:18:21,[109690|0]
371,2026-02-26 22:18:21,[109678|0]
372,2026-02-26 22:18:21,[109779|0]
373,2026-02-26 22:18:21,[109855|0]
374,2026-02-26 22:18:22,[109891|0]
375,2026-02-26 22:18:22,[109902|0]
376,2026-02-26 22:18:22,[109858|0]
377,2026-02-26 22:18:22,[109835|0]
378,2026-02-26 22:18:22,[109867|0]
379,2026-02-26 22:18:22,[109906|0]
380,2026-02-26 22:18:22,[109952|0]
381,2026-02-26 22:18:22,[110001|0]
382,2026-02-26 22:18:22,[110020|0]
383,2026-02-26 22:18:22,[110039|0]
384,2026-02-26 22:18:22,[110042|0]
385,2026-02-26 22:18:22,[110056|0]
386,2026-02-26 22:18:22,[110092|0]
387,2026-02-26 22:18:22,[110038|0]
388,2026-02-26 22:18:22,[109777|0]
389,2026-02-26 22:18:22,[109668|0]
390,2026-02-26 22:18:22,[109726|0]
391,2026-02-26 22:18:22,[109807|0]
392,2026-02-26 22:18:22,[109861|0]
