Packet_Number,Timestamp,Data
256,2026-01-31 19:26:41,[-134.06593406593407|-79.85347985347985|-76.19047619047619|-68.13186813186813|-68.13186813186813]
257,2026-01-31 19:26:41,[-56.41025641025641|-54.21245421245421|-49.81684981684982|-50.54945054945055|-32.234432234432234]
258,2026-01-31 19:26:41,[-29.304029304029303|-27.106227106227106|-16.84981684981685|-8.058608058608058|8.058608058608058]
259,2026-01-31 19:26:41,[22.71062271062271|30.036630036630036|46.15384615384615|61.53846153846154|81.31868131868131]
260,2026-01-31 19:26:41,[107.6923076923077|130.4029304029304|158.97435897435898|154.57875457875457|202.93040293040292]
261,2026-01-31 19:26:42,[205.86080586080587|198.53479853479854|181.6849816849817|148.71794871794873|115.01831501831502]
262,2026-01-31 19:26:42,[65.2014652014652|-3.663003663003663|-56.41025641025641|-112.82051282051282|-143.5897435897436]
263,2026-01-31 19:26:42,[-167.76556776556777|-183.15018315018315|-197.06959706959708|-241.02564102564102|-195.6043956043956]
264,2026-01-31 19:26:42,[-197.06959706959708|-201.46520146520146|-196.33699633699635|-190.47619047619048|-195.6043956043956]
265,2026-01-31 19:26:42,[-190.47619047619048|-190.47619047619048|-188.2783882783883|-192.67399267399267|-192.67399267399267]
266,2026-01-31 19:26:42,[-188.2783882783883|-188.2783882783883|-188.2783882783883|-226.37362637362637|-183.15018315018315]
267,2026-01-31 19:26:42,[-182.41758241758242|-193.4065934065934|-188.2783882783883|-188.2783882783883|-191.94139194139194]
268,2026-01-31 19:26:42,[-189.01098901098902|-189.01098901098902|-178.02197802197801|-179.48717948717947|-182.41758241758242]
269,2026-01-31 19:26:42,[-174.35897435897436|-180.95238095238096|-172.16117216117217|-214.65201465201466|-167.03296703296704]
270,2026-01-31 19:26:42,[-164.83516483516485|-169.23076923076923|-160.43956043956044|-158.97435897435898|-158.97435897435898]
271,2026-01-31 19:26:42,[-156.04395604395606|-159.7069597069597|-148.71794871794873|-145.78754578754578|-144.32234432234432]
272,2026-01-31 19:26:42,[-134.7985347985348|-134.06593406593407|-131.13553113553112|-174.35897435897436|-130.4029304029304]
273,2026-01-31 19:26:42,[-123.80952380952381|-129.67032967032966|-125.27472527472527|-122.34432234432235|-125.27472527472527]
274,2026-01-31 19:26:42,[-119.41391941391942|-119.41391941391942|-112.08791208791209|-112.82051282051282|-110.62271062271063]
275,2026-01-31 19:26:42,[-106.22710622710623|-107.6923076923077|-100.36630036630036|-106.22710622710623|-97.43589743589743]
276,2026-01-31 19:26:42,[-97.43589743589743|-98.9010989010989|-101.83150183150182|-101.83150183150182|-75.45787545787546]
277,2026-01-31 19:26:42,[-50.54945054945055|-63.73626373626374|-67.3992673992674|-85.71428571428571|-106.22710622710623]
278,2026-01-31 19:26:42,[-103.2967032967033|-98.16849816849818|-95.97069597069597|-136.26373626373626|-98.9010989010989]
279,2026-01-31 19:26:42,[-107.6923076923077|-126.73992673992674|-49.81684981684982|232.23443223443223|654.2124542124542]
280,2026-01-31 19:26:42,[629.3040293040293|116.48351648351648|-356.7765567765568|-310.6227106227106|-108.42490842490842]
281,2026-01-31 19:26:42,[-76.92307692307692|-75.45787545787546|-63.73626373626374|-95.97069597069597|-43.223443223443226]
282,2026-01-31 19:26:42,[-40.29304029304029|-41.75824175824176|-29.304029304029303|-25.641025641025642|-19.78021978021978]
283,2026-01-31 19:26:42,[-9.523809523809524|-6.593406593406593|12.454212454212454|19.78021978021978|30.036630036630036]
284,2026-01-31 19:26:42,[50.54945054945055|66.66666666666667|88.64468864468864|81.31868131868131|139.9267399267399]
285,2026-01-31 19:26:42,[167.76556776556777|183.88278388278388|210.25641025641025|219.04761904761904|224.9084249084249]
286,2026-01-31 19:26:43,[216.11721611721612|186.8131868131868|155.3113553113553|91.57509157509158|28.571428571428573]
287,2026-01-31 19:26:43,[-29.304029304029303|-87.17948717948718|-132.6007326007326|-170.6959706959707|-182.41758241758242]
288,2026-01-31 19:26:43,[-202.93040293040292|-216.11721611721612|-216.11721611721612|-216.11721611721612|-219.04761904761904]
289,2026-01-31 19:26:43,[-212.45421245421247|-211.7216117216117|-204.3956043956044|-208.05860805860806|-201.46520146520146]
290,2026-01-31 19:26:43,[-191.2087912087912|-191.2087912087912|-191.94139194139194|-224.17582417582418|-183.88278388278388]
291,2026-01-31 19:26:43,[-191.2087912087912|-194.13919413919413|-188.2783882783883|-193.4065934065934|-192.67399267399267]
292,2026-01-31 19:26:43,[-193.4065934065934|-195.6043956043956|-191.94139194139194|-194.13919413919413|-194.13919413919413]
293,2026-01-31 19:26:43,[-183.88278388278388|-188.2783882783883|-182.41758241758242|-218.3150183150183|-173.62637362637363]
294,2026-01-31 19:26:43,[-172.16117216117217|-176.55677655677655|-172.16117216117217|-174.35897435897436|-172.16117216117217]
295,2026-01-31 19:26:43,[-164.83516483516485|-167.76556776556777|-161.17216117216117|-159.7069597069597|-154.57875457875457]
296,2026-01-31 19:26:43,[-154.57875457875457|-154.57875457875457|-149.45054945054946|-188.2783882783883|-142.85714285714286]
297,2026-01-31 19:26:43,[-145.78754578754578|-147.25274725274724|-147.98534798534797|-153.1135531135531|-134.06593406593407]
298,2026-01-31 19:26:43,[-123.80952380952381|-125.27472527472527|-120.87912087912088|-125.27472527472527|-123.80952380952381]
299,2026-01-31 19:26:43,[-115.75091575091575|-120.87912087912088|-117.94871794871794|-153.1135531135531|-109.15750915750915]
300,2026-01-31 19:26:43,[-112.08791208791209|-114.28571428571429|-109.15750915750915|-110.62271062271063|-110.62271062271063]
301,2026-01-31 19:26:43,[-109.15750915750915|-107.6923076923077|-107.6923076923077|-109.15750915750915|-85.71428571428571]
302,2026-01-31 19:26:43,[-53.47985347985348|-56.41025641025641|-67.3992673992674|-119.41391941391942|-98.9010989010989]
303,2026-01-31 19:26:43,[-97.43589743589743|-96.7032967032967|-94.50549450549451|-98.9010989010989|-95.23809523809524]
304,2026-01-31 19:26:43,[-95.23809523809524|-113.55311355311355|-63.73626373626374|149.45054945054946|554.5787545787546]
305,2026-01-31 19:26:43,[652.7472527472528|202.93040293040292|-309.8901098901099|-402.1978021978022|-123.80952380952381]
306,2026-01-31 19:26:43,[-72.52747252747253|-77.65567765567765|-66.66666666666667|-60.8058608058608|-54.94505494505494]
307,2026-01-31 19:26:43,[-49.08424908424909|-43.223443223443226|-36.63003663003663|-35.8974358974359|-27.106227106227106]
308,2026-01-31 19:26:43,[-19.78021978021978|-15.384615384615385|4.395604395604396|-24.90842490842491|28.571428571428573]
309,2026-01-31 19:26:43,[43.223443223443226|60.8058608058608|79.85347985347985|106.22710622710623|132.6007326007326]
310,2026-01-31 19:26:43,[160.43956043956044|180.21978021978023|207.32600732600733|219.04761904761904|219.78021978021977]
311,2026-01-31 19:26:44,[217.58241758241758|183.88278388278388|145.78754578754578|56.41025641025641|41.75824175824176]
312,2026-01-31 19:26:44,[-19.78021978021978|-84.24908424908425|-124.54212454212454|-167.76556776556777|-191.94139194139194]
313,2026-01-31 19:26:44,[-205.86080586080587|-221.24542124542126|-217.58241758241758|-223.44322344322345|-219.04761904761904]
314,2026-01-31 19:26:44,[-214.65201465201466|-214.65201465201466|-207.32600732600733|-241.02564102564102|-200.0]
315,2026-01-31 19:26:44,[-191.94139194139194|-191.2087912087912|-182.41758241758242|-183.88278388278388|-182.41758241758242]
316,2026-01-31 19:26:44,[-182.41758241758242|-191.2087912087912|-189.01098901098902|-192.67399267399267|-189.01098901098902]
317,2026-01-31 19:26:44,[-179.48717948717947|-181.6849816849817|-173.62637362637363|-219.04761904761904|-181.6849816849817]
318,2026-01-31 19:26:44,[-180.95238095238096|-181.6849816849817|-173.62637362637363|-175.0915750915751|-173.62637362637363]
319,2026-01-31 19:26:44,[-166.3003663003663|-167.76556776556777|-166.3003663003663|-167.76556776556777|-159.7069597069597]
320,2026-01-31 19:26:44,[-156.7765567765568|-153.1135531135531|-146.5201465201465|-178.02197802197801|-142.85714285714286]
321,2026-01-31 19:26:44,[-142.85714285714286|-145.78754578754578|-144.32234432234432|-149.45054945054946|-148.71794871794873]
322,2026-01-31 19:26:44,[-135.53113553113553|-135.53113553113553|-131.86813186813185|-136.996336996337|-136.26373626373626]
323,2026-01-31 19:26:44,[-123.80952380952381|-121.6117216117216|-120.87912087912088|-125.27472527472527|-119.41391941391942]
324,2026-01-31 19:26:44,[-109.89010989010988|-109.15750915750915|-107.6923076923077|-114.28571428571429|-112.08791208791209]
325,2026-01-31 19:26:44,[-109.15750915750915|-113.55311355311355|-99.63369963369964|-115.01831501831502|-109.89010989010988]
326,2026-01-31 19:26:44,[-84.24908424908425|-73.99267399267399|-68.13186813186813|-110.62271062271063|-89.37728937728937]
327,2026-01-31 19:26:44,[-101.83150183150182|-100.36630036630036|-97.43589743589743|-99.63369963369964|-101.83150183150182]
328,2026-01-31 19:26:44,[-95.23809523809524|-109.15750915750915|-100.36630036630036|13.91941391941392|307.6923076923077]
329,2026-01-31 19:26:44,[594.8717948717949|416.1172161172161|-29.304029304029303|-408.7912087912088|-264.46886446886447]
330,2026-01-31 19:26:44,[-101.83150183150182|-67.3992673992674|-66.66666666666667|-62.27106227106227|-53.47985347985348]
