Packet_Number,Timestamp,Data
1917,2026-02-02 14:22:01,[131.13553113553112|149.45054945054946|119.41391941391942|101.83150183150182|76.19047619047619]
1918,2026-02-02 14:22:01,[-5.128205128205129|-9.523809523809524|-75.45787545787546|-134.7985347985348|-126.73992673992674]
1919,2026-02-02 14:22:01,[-237.36263736263737|-169.96336996336996|-170.6959706959707|-189.74358974358975|-172.16117216117217]
1920,2026-02-02 14:22:01,[-197.06959706959708|-158.24175824175825|-171.42857142857142|-194.13919413919413|-150.1831501831502]
1921,2026-02-02 14:22:01,[-176.55677655677655|-155.3113553113553|-158.24175824175825|-150.1831501831502|-132.6007326007326]
1922,2026-02-02 14:22:01,[-205.86080586080587|-147.25274725274724|-154.57875457875457|-169.96336996336996|-140.65934065934067]
1923,2026-02-02 14:22:01,[-161.9047619047619|-149.45054945054946|-155.3113553113553|-180.95238095238096|-133.33333333333334]
1924,2026-02-02 14:22:01,[-166.3003663003663|-179.48717948717947|-156.04395604395606|-167.03296703296704|-153.1135531135531]
1925,2026-02-02 14:22:01,[-218.3150183150183|-174.35897435897436|-154.57875457875457|-176.55677655677655|-113.55311355311355]
1926,2026-02-02 14:22:01,[-158.97435897435898|-123.80952380952381|-155.3113553113553|-145.05494505494505|-95.97069597069597]
1927,2026-02-02 14:22:01,[-154.57875457875457|-73.26007326007326|-109.89010989010988|-88.64468864468864|-88.64468864468864]
1928,2026-02-02 14:22:01,[-132.6007326007326|-96.7032967032967|-145.78754578754578|-153.1135531135531|-129.67032967032966]
1929,2026-02-02 14:22:01,[-158.97435897435898|-103.2967032967033|-142.85714285714286|-178.02197802197801|-21.245421245421245]
1930,2026-02-02 14:22:01,[232.23443223443223|623.4432234432235|600.0|-5.128205128205129|-340.65934065934067]
1931,2026-02-02 14:22:01,[-362.6373626373626|-164.10256410256412|-94.50549450549451|-113.55311355311355|-100.36630036630036]
1932,2026-02-02 14:22:01,[-141.3919413919414|-63.73626373626374|-65.2014652014652|-108.42490842490842|-76.92307692307692]
1933,2026-02-02 14:22:02,[-88.64468864468864|-31.501831501831504|-30.036630036630036|-59.34065934065934|-23.44322344322344]
1934,2026-02-02 14:22:02,[-76.92307692307692|-2.93040293040293|21.245421245421245|8.058608058608058|52.014652014652015]
1935,2026-02-02 14:22:02,[38.095238095238095|88.64468864468864|126.73992673992674|111.35531135531136|139.9267399267399]
1936,2026-02-02 14:22:02,[132.6007326007326|154.57875457875457|128.2051282051282|84.24908424908425|104.76190476190476]
1937,2026-02-02 14:22:02,[-15.384615384615385|-9.523809523809524|-68.13186813186813|-112.08791208791209|-112.82051282051282]
1938,2026-02-02 14:22:02,[-182.41758241758242|-169.23076923076923|-200.0|-203.66300366300365|-176.55677655677655]
1939,2026-02-02 14:22:02,[-207.32600732600733|-153.1135531135531|-173.62637362637363|-179.48717948717947|-156.7765567765568]
1940,2026-02-02 14:22:02,[-216.84981684981685|-156.7765567765568|-153.1135531135531|-178.02197802197801|-146.5201465201465]
1941,2026-02-02 14:22:02,[-191.2087912087912|-135.53113553113553|-160.43956043956044|-153.84615384615384|-147.25274725274724]
1942,2026-02-02 14:22:02,[-169.96336996336996|-150.1831501831502|-145.78754578754578|-176.55677655677655|-161.9047619047619]
1943,2026-02-02 14:22:02,[-192.67399267399267|-155.3113553113553|-172.16117216117217|-178.02197802197801|-125.27472527472527]
1944,2026-02-02 14:22:02,[-156.04395604395606|-144.32234432234432|-153.1135531135531|-153.1135531135531|-113.55311355311355]
1945,2026-02-02 14:22:02,[-132.6007326007326|-154.57875457875457|-160.43956043956044|-154.57875457875457|-113.55311355311355]
1946,2026-02-02 14:22:02,[-197.06959706959708|-160.43956043956044|-98.16849816849818|-117.94871794871794|-105.49450549450549]
1947,2026-02-02 14:22:02,[-131.13553113553112|-62.27106227106227|-59.34065934065934|-112.82051282051282|-93.77289377289377]
1948,2026-02-02 14:22:02,[-142.85714285714286|-106.22710622710623|-115.75091575091575|-164.83516483516485|-110.62271062271063]
1949,2026-02-02 14:22:02,[-167.76556776556777|-147.25274725274724|-164.83516483516485|-62.27106227106227|286.4468864468864]
1950,2026-02-02 14:22:02,[679.8534798534798|676.1904761904761|101.83150183150182|-347.25274725274727|-258.6080586080586]
1951,2026-02-02 14:22:02,[-200.0|-145.78754578754578|-98.9010989010989|-95.97069597069597|-79.85347985347985]
1952,2026-02-02 14:22:02,[-157.50915750915752|-77.65567765567765|-76.92307692307692|-82.78388278388279|-48.35164835164835]
1953,2026-02-02 14:22:02,[-49.08424908424909|-49.08424908424909|-50.54945054945055|-38.827838827838825|22.71062271062271]
1954,2026-02-02 14:22:02,[-28.571428571428573|17.582417582417584|38.827838827838825|43.223443223443226|86.44688644688645]
1955,2026-02-02 14:22:02,[29.304029304029303|113.55311355311355|128.2051282051282|150.91575091575092|181.6849816849817]
1956,2026-02-02 14:22:02,[134.7985347985348|161.17216117216117|153.84615384615384|98.16849816849818|88.64468864468864]
1957,2026-02-02 14:22:02,[-28.571428571428573|-55.67765567765568|-79.85347985347985|-144.32234432234432|-127.47252747252747]
1958,2026-02-02 14:22:02,[-213.1868131868132|-175.0915750915751|-170.6959706959707|-208.7912087912088|-158.97435897435898]
1959,2026-02-02 14:22:03,[-180.95238095238096|-164.10256410256412|-156.7765567765568|-182.41758241758242|-155.3113553113553]
1960,2026-02-02 14:22:03,[-178.02197802197801|-154.57875457875457|-153.84615384615384|-165.56776556776558|-112.82051282051282]
1961,2026-02-02 14:22:03,[-203.66300366300365|-166.3003663003663|-125.27472527472527|-131.13553113553112|-134.06593406593407]
1962,2026-02-02 14:22:03,[-178.75457875457874|-167.03296703296704|-158.97435897435898|-168.4981684981685|-104.02930402930403]
1963,2026-02-02 14:22:03,[-161.9047619047619|-157.50915750915752|-143.5897435897436|-195.6043956043956|-150.1831501831502]
1964,2026-02-02 14:22:03,[-156.7765567765568|-120.14652014652015|-133.33333333333334|-182.41758241758242|-125.27472527472527]
